Dimension,Birth,Death,Persistence
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.0909090909090909,0.0909090909090909
0,0,0.181818181818182,0.181818181818182
0,0,1,1
